year,esc,ret,SST
1958,NA,2678,NA
1959,NA,10459,11.23
1960,1418,2446,11.63
1961,2835,14934,11.46
1962,1957,10031,12.33
1963,4033,8050,11.62
1964,2750,7884,11.05
1965,2891,4430,11.11
1966,3098,13086,11.69
1967,2001,6051,11.5
1968,3215,7801,11.08
1969,2443,5846,10.39
1970,2561,6101,10.81
1971,2834,4175,10.59
1972,2859,2541,10.35
1973,2295,2194,11.07
1974,1880,1512,10.26
1975,1579,6704,11.2
1976,1373,5742,11.81
1977,4183,8809,11.32
1978,2984,4062,11.86
1979,5059,9277,11.36
1980,2669,15452,12.38
1981,3949,10343,11.22
1982,4219,8950,12.22
1983,4290,30011,11.74
1984,3976,3999,10.41
1985,8799,9917,11.51
1986,2856,4906,11.78
1987,4289,18215,11.81
1988,2892,9461,12.26
1989,4577,23359,12.3
1990,3802,NA,NA
1991,5247,NA,NA
